catalog_year,type,proper_name,file_name,degree_major,concentration,url
2025-2026,graduate_early_entry,"Fire Protection and Safety Management, M.S., Early Entry ",MS Fire Protection and Safety Management Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11822
2025-2026,graduate_early_entry,"Mechanical Engineering, M.S., Early Entry ",MS Mechanical Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11613
2025-2026,graduate_early_entry,"Optical Science and Engineering, M.S. or Ph.D., Early Entry ",MS or PhD Optical Science and Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11691
2025-2026,graduate_early_entry,"Applied Energy and Electromechanical Systems, M.S., Early Entry ",MS Applied Energy and Electromechanical Systems Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11689
2025-2026,college_intro,College of Engineering,College of Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11717
2025-2026,dept,Department of Civil and Environmental Engineering,Department of Civil and Environmental Engineering,,,https://catalog.charlotte.edu/preview_entity.php?catoid=40&ent_oid=2459
2025-2026,dept,Department of Eletrical and Computer Engineering,Department of Eletrical and Computer Engineering,,,https://catalog.charlotte.edu/preview_entity.php?catoid=40&ent_oid=2460
2025-2026,dept,Department of Engineering Technology and Construction Management,Department of Engineering Technology and Construction Management,,,https://catalog.charlotte.edu/preview_entity.php?catoid=40&ent_oid=2461
2025-2026,dept,Department of Systems Engineering and Engineering Management,Department of Indistrial and Systems Engineering,,,https://catalog.charlotte.edu/preview_entity.php?catoid=40&ent_oid=2463
2025-2026,dept,Department of Mechanical Engineering and Engineering Science,Department of Mechanical Engineering and Engineering Science,,,https://catalog.charlotte.edu/preview_entity.php?catoid=40&ent_oid=2462
2025-2026,honors,"Engineering, Honors Program",Engineering Honors Program,,,https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11650
